user_id,user_url,funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
76561198056741844,http://steamcommunity.com/profiles/76561198056741844,,"Posted October 14, 2014.",,730,2 of 3 people (67%) found this review helpful,True,1
sad-commie,http://steamcommunity.com/id/sad-commie,2 people found this review funny,Posted August 31.,,294100,2 of 2 people (100%) found this review helpful,True,0
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,2 people found this review funny,"Posted November 11, 2014.",,332800,194 of 282 people (69%) found this review helpful,True,1
76561198010674657,http://steamcommunity.com/profiles/76561198010674657,,Posted March 27.,,377160,3 of 4 people (75%) found this review helpful,False,1
Coldaniel,http://steamcommunity.com/id/Coldaniel,,"Posted March 22, 2015.",,35450,1 of 1 people (100%) found this review helpful,True,2
therealmorty,http://steamcommunity.com/id/therealmorty,,"Posted March 20, 2015.",,351570,No ratings yet,True,1
Berserklejerker,http://steamcommunity.com/id/Berserklejerker,,"Posted October 10, 2015.",,391540,2 of 3 people (67%) found this review helpful,True,1
76561198061730629,http://steamcommunity.com/profiles/76561198061730629,,"Posted July 6, 2014.",,550,0 of 1 people (0%) found this review helpful,True,1
YoHuNz,http://steamcommunity.com/id/YoHuNz,,"Posted June 19, 2014.",,440,1 of 1 people (100%) found this review helpful,True,1
possessioniskey,http://steamcommunity.com/id/possessioniskey,,"Posted April 11, 2015.",,72850,1 of 1 people (100%) found this review helpful,True,2
76561198093112529,http://steamcommunity.com/profiles/76561198093112529,,"Posted August 9, 2014.",,440,3 of 3 people (100%) found this review helpful,True,1
76561198060447950,http://steamcommunity.com/profiles/76561198060447950,,"Posted September 26, 2015.",,200510,No ratings yet,True,2
whiteofwolfing,http://steamcommunity.com/id/whiteofwolfing,,"Posted May 22, 2015.",,730,2 of 2 people (100%) found this review helpful,True,2
sergarino,http://steamcommunity.com/id/sergarino,524 people found this review funny,"Posted August 22, 2015.",,383080,424 of 470 people (90%) found this review helpful,True,1
76561198081962345,http://steamcommunity.com/profiles/76561198081962345,,Posted May 26.,,200210,No ratings yet,True,2
76561198073210139,http://steamcommunity.com/profiles/76561198073210139,,Posted January 18.,,304050,0 of 2 people (0%) found this review helpful,True,0
Nozomikat,http://steamcommunity.com/id/Nozomikat,4 people found this review funny,"Posted December 30, 2015.",,265610,28 of 41 people (68%) found this review helpful,True,1
xfluttersx,http://steamcommunity.com/id/xfluttersx,12 people found this review funny,"Posted November 10, 2015.",,351640,97 of 102 people (95%) found this review helpful,True,1
76561198056290589,http://steamcommunity.com/profiles/76561198056290589,,"Posted December 16, 2014.",,730,No ratings yet,True,2
ii_voltage_ii,http://steamcommunity.com/id/ii_voltage_ii,,"Posted June 29, 2014.",Last edited June 26.,253710,1 of 2 people (50%) found this review helpful,False,1
76561198097762318,http://steamcommunity.com/profiles/76561198097762318,1 person found this review funny,"Posted November 11, 2015.",,440,No ratings yet,True,1
Hirukaz,http://steamcommunity.com/id/Hirukaz,,"Posted January 17, 2013.",,550,0 of 1 people (0%) found this review helpful,True,1
StelerForYou,http://steamcommunity.com/id/StelerForYou,1 person found this review funny,"Posted July 17, 2015.",,730,1 of 1 people (100%) found this review helpful,True,2
76561198183396245,http://steamcommunity.com/profiles/76561198183396245,,"Posted May 6, 2015.",,440,No ratings yet,True,2
Xx-Woods,http://steamcommunity.com/id/Xx-Woods,1 person found this review funny,Posted July 20.,,346330,2 of 7 people (29%) found this review helpful,False,1
kevinator23,http://steamcommunity.com/id/kevinator23,2 people found this review funny,"Posted July 6, 2015.",,320760,4 of 6 people (67%) found this review helpful,True,0
76561198090715178,http://steamcommunity.com/profiles/76561198090715178,,"Posted March 28, 2014.",,4000,1 of 1 people (100%) found this review helpful,True,2
CatsWhale,http://steamcommunity.com/id/CatsWhale,,"Posted February 23, 2015.",,333950,1 of 2 people (50%) found this review helpful,True,1
76561198073784601,http://steamcommunity.com/profiles/76561198073784601,,"Posted March 26, 2015.",,221100,3 of 6 people (50%) found this review helpful,True,2
mimimomoma,http://steamcommunity.com/id/mimimomoma,,"Posted November 23, 2015.",,730,No ratings yet,True,0
76561198102410011,http://steamcommunity.com/profiles/76561198102410011,,"Posted September 14, 2015.",,440,No ratings yet,True,1
de_Butl3r,http://steamcommunity.com/id/de_Butl3r,,"Posted October 13, 2014.",,209870,3 of 8 people (38%) found this review helpful,True,1
76561198027947401,http://steamcommunity.com/profiles/76561198027947401,2 people found this review funny,Posted July 23.,,322170,1 of 2 people (50%) found this review helpful,True,2
Bluezap1,http://steamcommunity.com/id/Bluezap1,,"Posted December 27, 2015.",,440,1 of 1 people (100%) found this review helpful,True,2
76561198074200011,http://steamcommunity.com/profiles/76561198074200011,,"Posted November 15, 2015.",,730,No ratings yet,True,2
jonasdbomb,http://steamcommunity.com/id/jonasdbomb,2 people found this review funny,Posted September 9.,,346110,2 of 12 people (17%) found this review helpful,True,1
L1J1N,http://steamcommunity.com/id/L1J1N,1 person found this review funny,"Posted June 13, 2014.",,570,1 of 2 people (50%) found this review helpful,True,2
Lord_Exploit,http://steamcommunity.com/id/Lord_Exploit,1 person found this review funny,"Posted March 13, 2015.","Last edited March 19, 2015.",311560,6 of 10 people (60%) found this review helpful,True,1
AVATAR715,http://steamcommunity.com/id/AVATAR715,,"Posted January 2, 2014.",,48240,4 of 4 people (100%) found this review helpful,False,0
YieuwMage,http://steamcommunity.com/id/YieuwMage,,Posted February 22.,,730,1 of 1 people (100%) found this review helpful,True,1
76561198078752187,http://steamcommunity.com/profiles/76561198078752187,,"Posted December 16, 2014.",,240,No ratings yet,True,0
A-Very-Sly-Person,http://steamcommunity.com/id/A-Very-Sly-Person,,"Posted August 14, 2015.",,304930,No ratings yet,True,1
76561198211054671,http://steamcommunity.com/profiles/76561198211054671,,Posted May 29.,,730,0 of 1 people (0%) found this review helpful,True,0
76561197994493402,http://steamcommunity.com/profiles/76561197994493402,2 people found this review funny,Posted June 20.,,365590,7 of 17 people (41%) found this review helpful,True,1
Koolcaz12,http://steamcommunity.com/id/Koolcaz12,3 people found this review funny,Posted May 17.,,298050,16 of 48 people (33%) found this review helpful,False,2
76561198065656175,http://steamcommunity.com/profiles/76561198065656175,,"Posted November 20, 2015.",,383080,1 of 1 people (100%) found this review helpful,True,1
76561198188979775,http://steamcommunity.com/profiles/76561198188979775,,Posted September 17.,,440,0 of 1 people (0%) found this review helpful,True,2
97396295,http://steamcommunity.com/id/97396295,,"Posted August 23, 2014.",,301520,1 of 2 people (50%) found this review helpful,True,2
76561198126640317,http://steamcommunity.com/profiles/76561198126640317,1 person found this review funny,"Posted June 15, 2015.",,251570,9 of 12 people (75%) found this review helpful,True,2
DemonicWolvz,http://steamcommunity.com/id/DemonicWolvz,,"Posted January 15, 2015.",,55230,1 of 1 people (100%) found this review helpful,True,2
DieMadchenschanderin,http://steamcommunity.com/id/DieMadchenschanderin,,"Posted August 29, 2015.",,346110,0 of 1 people (0%) found this review helpful,True,1
GGargula,http://steamcommunity.com/id/GGargula,1 person found this review funny,Posted September 4.,,570,3 of 7 people (43%) found this review helpful,False,1
Myther43,http://steamcommunity.com/id/Myther43,,Posted July 16.,,273350,1 of 3 people (33%) found this review helpful,True,2
getf0kinn0sc0pedm9,http://steamcommunity.com/id/getf0kinn0sc0pedm9,1 person found this review funny,"Posted May 31, 2015.",,730,2 of 2 people (100%) found this review helpful,True,0
76561198141443390,http://steamcommunity.com/profiles/76561198141443390,3 people found this review funny,"Posted May 3, 2015.","Last edited November 8, 2015.",730,3 of 4 people (75%) found this review helpful,True,2
76561198097333029,http://steamcommunity.com/profiles/76561198097333029,,Posted June 14.,,570,No ratings yet,True,0
whodafuqisthisguilao,http://steamcommunity.com/id/whodafuqisthisguilao,,"Posted August 6, 2015.",,730,No ratings yet,True,2
Magjiikal,http://steamcommunity.com/id/Magjiikal,,"Posted October 5, 2015.",,370480,2 of 2 people (100%) found this review helpful,True,2
ohnospaghet,http://steamcommunity.com/id/ohnospaghet,,"Posted December 17, 2014.",,1840,1 of 1 people (100%) found this review helpful,True,2
76561198050347115,http://steamcommunity.com/profiles/76561198050347115,6 people found this review funny,Posted March 19.,,292030,9 of 10 people (90%) found this review helpful,True,1
2768820078,http://steamcommunity.com/id/2768820078,4 people found this review funny,"Posted September 1, 2015.",,287700,4 of 5 people (80%) found this review helpful,True,1
76561198056392326,http://steamcommunity.com/profiles/76561198056392326,,Posted February 7.,,259530,No ratings yet,True,1
2d4nk4m3,http://steamcommunity.com/id/2d4nk4m3,,"Posted August 20, 2014.",,317470,No ratings yet,False,0
76561198078478151,http://steamcommunity.com/profiles/76561198078478151,,Posted April 10.,,730,No ratings yet,True,1
exiaez,http://steamcommunity.com/id/exiaez,,Posted September 15.,,365450,No ratings yet,True,1
76561198095921854,http://steamcommunity.com/profiles/76561198095921854,,"Posted May 1, 2015.",,245620,2 of 3 people (67%) found this review helpful,True,2
EizanAratoFujimaki,http://steamcommunity.com/id/EizanAratoFujimaki,5 people found this review funny,"Posted October 28, 2015.",,70,14 of 19 people (74%) found this review helpful,True,1
TeCool,http://steamcommunity.com/id/TeCool,,"Posted December 15, 2014.",,274980,20 of 23 people (87%) found this review helpful,True,1
2xDelorean,http://steamcommunity.com/id/2xDelorean,,"Posted September 13, 2015.",,570,No ratings yet,True,1
washington_,http://steamcommunity.com/id/washington_,,Posted August 19.,,440,2 of 3 people (67%) found this review helpful,False,1
jewxxl,http://steamcommunity.com/id/jewxxl,,"Posted May 18, 2015.",,251970,5 of 8 people (63%) found this review helpful,True,2
76561198088944293,http://steamcommunity.com/profiles/76561198088944293,1 person found this review funny,Posted June 22.,,359550,1 of 2 people (50%) found this review helpful,True,1
76561198092540221,http://steamcommunity.com/profiles/76561198092540221,,"Posted July 31, 2015.",,400,No ratings yet,True,2
76561198051258119,http://steamcommunity.com/profiles/76561198051258119,,"Posted February 4, 2015.","Last edited February 4, 2015.",730,2 of 3 people (67%) found this review helpful,True,2
nubquake123,http://steamcommunity.com/id/nubquake123,,"Posted April 21, 2014.","Last edited April 21, 2014.",265610,3 of 3 people (100%) found this review helpful,True,2
Pyromanic,http://steamcommunity.com/id/Pyromanic,1 person found this review funny,"Posted February 15, 2013.",,31280,1 of 1 people (100%) found this review helpful,True,1
76561198109656922,http://steamcommunity.com/profiles/76561198109656922,,Posted March 27.,,440,1 of 1 people (100%) found this review helpful,True,2
CobRazor,http://steamcommunity.com/id/CobRazor,,"Posted August 1, 2015.",,252490,0 of 1 people (0%) found this review helpful,True,0
relesprit,http://steamcommunity.com/id/relesprit,,"Posted December 27, 2013.",,8930,2 of 2 people (100%) found this review helpful,True,2
WitchHunter4542,http://steamcommunity.com/id/WitchHunter4542,,"Posted July 16, 2014.",,304930,1 of 1 people (100%) found this review helpful,True,2
pwrt,http://steamcommunity.com/id/pwrt,103 people found this review funny,"Posted September 3, 2015.",,230410,131 of 188 people (70%) found this review helpful,True,1
wantmahbody,http://steamcommunity.com/id/wantmahbody,,"Posted May 3, 2014.",,440,1 of 1 people (100%) found this review helpful,True,2
76561198115868847,http://steamcommunity.com/profiles/76561198115868847,,Posted May 1.,,219640,2 of 3 people (67%) found this review helpful,False,0
benedictcuminherbatch,http://steamcommunity.com/id/benedictcuminherbatch,,"Posted August 2, 2014.",Last edited March 31.,570,0 of 1 people (0%) found this review helpful,True,2
76561198031207016,http://steamcommunity.com/profiles/76561198031207016,,"Posted March 17, 2014.",,8930,1 of 1 people (100%) found this review helpful,True,2
76561198043458582,http://steamcommunity.com/profiles/76561198043458582,,"Posted July 19, 2015.",,105600,2 of 2 people (100%) found this review helpful,True,0
smashiroshh,http://steamcommunity.com/id/smashiroshh,,"Posted December 30, 2014.",,218620,No ratings yet,True,2
shark854,http://steamcommunity.com/id/shark854,,Posted March 7.,,225540,2 of 3 people (67%) found this review helpful,True,2
killbunny38,http://steamcommunity.com/id/killbunny38,2 people found this review funny,"Posted January 22, 2015.",,570,2 of 3 people (67%) found this review helpful,True,2
76561198047630659,http://steamcommunity.com/profiles/76561198047630659,,"Posted May 14, 2015.",,230410,2 of 6 people (33%) found this review helpful,False,1
1337lolroflmao,http://steamcommunity.com/id/1337lolroflmao,1 person found this review funny,"Posted April 13, 2015.",,271590,1 of 2 people (50%) found this review helpful,True,1
sithjjf,http://steamcommunity.com/id/sithjjf,,"Posted September 1, 2015.",,302830,0 of 1 people (0%) found this review helpful,False,1
76561198060039459,http://steamcommunity.com/profiles/76561198060039459,,"Posted October 4, 2014.",,570,No ratings yet,False,1
OzfurAtlas,http://steamcommunity.com/id/OzfurAtlas,,Posted January 10.,,218620,6 of 8 people (75%) found this review helpful,False,1
76561198065593074,http://steamcommunity.com/profiles/76561198065593074,1 person found this review funny,"Posted November 6, 2015.",,304930,1 of 3 people (33%) found this review helpful,False,0
76561198044169764,http://steamcommunity.com/profiles/76561198044169764,,"Posted June 24, 2015.",,227940,2 of 2 people (100%) found this review helpful,False,1
euzi,http://steamcommunity.com/id/euzi,,"Posted July 26, 2014.",,236390,0 of 1 people (0%) found this review helpful,True,2
76561198074935997,http://steamcommunity.com/profiles/76561198074935997,,Posted May 15.,,221100,13 of 15 people (87%) found this review helpful,False,0
76561197961778802,http://steamcommunity.com/profiles/76561197961778802,,"Posted April 23, 2014.",,730,No ratings yet,True,2
lucasrash,http://steamcommunity.com/id/lucasrash,,Posted September 8.,,440,No ratings yet,True,1
76561198016602703,http://steamcommunity.com/profiles/76561198016602703,,Posted September 2.,,301520,2 of 2 people (100%) found this review helpful,False,1
thisissohardtomakeoneup,http://steamcommunity.com/id/thisissohardtomakeoneup,,"Posted April 12, 2014.",,440,3 of 3 people (100%) found this review helpful,True,1
76561198087010391,http://steamcommunity.com/profiles/76561198087010391,,"Posted April 4, 2015.",,4000,2 of 2 people (100%) found this review helpful,True,2
66666669999999,http://steamcommunity.com/id/66666669999999,,"Posted January 5, 2015.",,302830,No ratings yet,False,1
76561198061174192,http://steamcommunity.com/profiles/76561198061174192,,"Posted September 14, 2014.",,220200,No ratings yet,True,2
ReMiXOfficalSteam,http://steamcommunity.com/id/ReMiXOfficalSteam,,"Posted October 12, 2015.",,352460,1 of 3 people (33%) found this review helpful,True,2
Wilfire77,http://steamcommunity.com/id/Wilfire77,2 people found this review funny,"Posted March 22, 2015.",,322920,3 of 7 people (43%) found this review helpful,True,2
76561198084390807,http://steamcommunity.com/profiles/76561198084390807,,"Posted December 1, 2015.",,234792,No ratings yet,True,1
Mastic,http://steamcommunity.com/id/Mastic,16 people found this review funny,"Posted August 1, 2015.","Last edited August 2, 2015.",304050,95 of 173 people (55%) found this review helpful,False,1
76561198028286104,http://steamcommunity.com/profiles/76561198028286104,1 person found this review funny,"Posted December 26, 2013.",,10180,2 of 2 people (100%) found this review helpful,True,2
tarjla,http://steamcommunity.com/id/tarjla,34 people found this review funny,Posted August 26.,,242760,52 of 62 people (84%) found this review helpful,True,2
deathnz1,http://steamcommunity.com/id/deathnz1,,Posted July 18.,,233110,2 of 2 people (100%) found this review helpful,False,0
readingthis4noobs,http://steamcommunity.com/id/readingthis4noobs,,Posted May 14.,,227940,0 of 1 people (0%) found this review helpful,True,1
76561198104393251,http://steamcommunity.com/profiles/76561198104393251,1 person found this review funny,"Posted March 13, 2015.","Last edited March 14, 2015.",304930,No ratings yet,True,1
76561198075322986,http://steamcommunity.com/profiles/76561198075322986,2 people found this review funny,Posted March 30.,,730,2 of 2 people (100%) found this review helpful,True,1
redsncrimson,http://steamcommunity.com/id/redsncrimson,,Posted June 18.,,448530,3 of 4 people (75%) found this review helpful,True,1
76561198151910904,http://steamcommunity.com/profiles/76561198151910904,1 person found this review funny,Posted April 22.,,252950,No ratings yet,True,2
H1DD3NT3RR0R,http://steamcommunity.com/id/H1DD3NT3RR0R,1 person found this review funny,"Posted March 10, 2014.",,240,3 of 4 people (75%) found this review helpful,True,1
76561198071214618,http://steamcommunity.com/profiles/76561198071214618,,"Posted May 11, 2015.",,268750,No ratings yet,True,2
76561198115115631,http://steamcommunity.com/profiles/76561198115115631,,"Posted May 22, 2015.",,570,1 of 1 people (100%) found this review helpful,True,2
76561198071175142,http://steamcommunity.com/profiles/76561198071175142,,"Posted August 10, 2015.",,570,0 of 1 people (0%) found this review helpful,True,2
t8s,http://steamcommunity.com/id/t8s,,"Posted May 13, 2015.",,360870,1 of 1 people (100%) found this review helpful,True,1
pikawuu2,http://steamcommunity.com/id/pikawuu2,1 person found this review funny,Posted March 12.,Last edited March 15.,230410,3 of 4 people (75%) found this review helpful,True,0
Sammeh00,http://steamcommunity.com/id/Sammeh00,,"Posted November 4, 2014.",,301520,0 of 3 people (0%) found this review helpful,True,1
Michaelele,http://steamcommunity.com/id/Michaelele,,"Posted August 7, 2014.",,6060,2 of 2 people (100%) found this review helpful,True,0
76561198045754869,http://steamcommunity.com/profiles/76561198045754869,3 people found this review funny,"Posted August 7, 2015.",,335670,2 of 2 people (100%) found this review helpful,True,0
76561198076098774,http://steamcommunity.com/profiles/76561198076098774,,"Posted August 2, 2015.",,215080,No ratings yet,True,2
76561198103253374,http://steamcommunity.com/profiles/76561198103253374,,"Posted February 24, 2014.",,570,No ratings yet,True,1
76561198048417105,http://steamcommunity.com/profiles/76561198048417105,,"Posted December 28, 2015.",,271590,1 of 1 people (100%) found this review helpful,True,1
76561198090842891,http://steamcommunity.com/profiles/76561198090842891,,"Posted January 16, 2015.",,8190,0 of 1 people (0%) found this review helpful,True,1
76561198055767971,http://steamcommunity.com/profiles/76561198055767971,,"Posted June 10, 2015.",,247730,0 of 1 people (0%) found this review helpful,False,0
76561197998052647,http://steamcommunity.com/profiles/76561197998052647,,"Posted November 27, 2014.",,233630,No ratings yet,True,1
adohya343,http://steamcommunity.com/id/adohya343,,Posted February 24.,,303390,No ratings yet,False,1
76561198145436942,http://steamcommunity.com/profiles/76561198145436942,1 person found this review funny,"Posted August 2, 2014.",Last edited May 13.,221100,4 of 5 people (80%) found this review helpful,True,2
jjas01,http://steamcommunity.com/id/jjas01,,"Posted November 3, 2014.",,208812,16 of 20 people (80%) found this review helpful,False,0
3xotic26,http://steamcommunity.com/id/3xotic26,,"Posted February 26, 2014.",,500,3 of 4 people (75%) found this review helpful,True,2
iamthetrashlord,http://steamcommunity.com/id/iamthetrashlord,,"Posted June 16, 2015.",,206420,No ratings yet,True,1
3dster,http://steamcommunity.com/id/3dster,,"Posted August 24, 2015.",,550,0 of 1 people (0%) found this review helpful,True,2
76561198079990063,http://steamcommunity.com/profiles/76561198079990063,,"Posted March 14, 2014.",,231040,No ratings yet,True,2
Forty-Nine,http://steamcommunity.com/id/Forty-Nine,,"Posted August 28, 2014.",,221100,0 of 2 people (0%) found this review helpful,True,1
76561198051017916,http://steamcommunity.com/profiles/76561198051017916,,"Posted May 30, 2015.",,351040,No ratings yet,True,1
L4M1NAS,http://steamcommunity.com/id/L4M1NAS,1 person found this review funny,Posted August 15.,,227940,2 of 3 people (67%) found this review helpful,True,1
76561198096766604,http://steamcommunity.com/profiles/76561198096766604,1 person found this review funny,Posted July 16.,,301520,4 of 4 people (100%) found this review helpful,False,1
